Transition, Time (secs), Satisfiable
transition__S01__a__S03__mediante_met_modify,0.031,false
transition__S05__a__S05__mediante_met_modify,0.051,false
transition__S10__a__S06__mediante_met_accept,0.018,false
transition__S01__a__S04__mediante_met_modify,0.05,false
transition__S10__a__S07__mediante_met_accept,0.041,false
transition__S05__a__S06__mediante_met_modify,0.065,false
transition__S01__a__S05__mediante_met_modify,0.042,false
transition__S10__a__S08__mediante_met_accept,0.05,false
transition__S05__a__S07__mediante_met_modify,0.043,false
transition__S01__a__S06__mediante_met_modify,0.04,false
transition__S10__a__S09__mediante_met_accept,0.064,false
transition__S05__a__S08__mediante_met_modify,0.063,false
transition__S01__a__S07__mediante_met_modify,0.057,false
transition__S10__a__S10__mediante_met_accept,0.042,false
transition__S05__a__S09__mediante_met_modify,0.059,false
transition__S01__a__S08__mediante_met_modify,0.061,false
transition__S10__a__S01__mediante_met_modifyOffer,0.039,false
transition__S05__a__S10__mediante_met_modify,0.029,false
transition__S10__a__S02__mediante_met_modifyOffer,0.041,false
transition__S01__a__S09__mediante_met_modify,0.051,false
transition__S06__a__S01__mediante_met_modify,0.052,false
transition__S10__a__S03__mediante_met_modifyOffer,0.054,false
transition__S06__a__S02__mediante_met_modify,0.034,false
transition__S01__a__S10__mediante_met_modify,0.065,false
transition__S10__a__S04__mediante_met_modifyOffer,0.034,false
transition__S06__a__S03__mediante_met_modify,0.067,false
transition__S10__a__S05__mediante_met_modifyOffer,0.078,false
transition__S02__a__S01__mediante_met_modify,0.099,false
transition__S06__a__S04__mediante_met_modify,0.058,false
transition__S06__a__S05__mediante_met_modify,0.052,false
transition__S10__a__S06__mediante_met_modifyOffer,0.078,false
transition__S02__a__S02__mediante_met_modify,0.077,false
transition__S06__a__S06__mediante_met_modify,0.05,false
transition__S10__a__S07__mediante_met_modifyOffer,0.038,false
transition__S02__a__S03__mediante_met_modify,0.048,false
transition__S10__a__S08__mediante_met_modifyOffer,0.045,false
