Transition, Time (secs), Satisfiable
transition__S04__a__S04__mediante_met_rejectSharingRequest,0.031,false
transition__S01__a__S01__mediante_met_releaseLockerAccess,0.046,false
transition__S04__a__S05__mediante_met_rejectSharingRequest,0.046,false
transition__S01__a__S02__mediante_met_releaseLockerAccess,0.031,false
transition__S01__a__S03__mediante_met_releaseLockerAccess,0.024,false
transition__S04__a__S06__mediante_met_rejectSharingRequest,0.039,false
transition__S01__a__S04__mediante_met_releaseLockerAccess,0.015,false
transition__S05__a__S01__mediante_met_rejectSharingRequest,0.031,false
transition__S01__a__S05__mediante_met_releaseLockerAccess,0.031,false
transition__S05__a__S02__mediante_met_rejectSharingRequest,0.015,false
transition__S01__a__S06__mediante_met_releaseLockerAccess,0.031,false
transition__S05__a__S03__mediante_met_rejectSharingRequest,0.046,false
transition__S02__a__S01__mediante_met_releaseLockerAccess,0.031,false
transition__S02__a__S02__mediante_met_releaseLockerAccess,0.015,false
transition__S05__a__S04__mediante_met_rejectSharingRequest,0.031,false
transition__S02__a__S03__mediante_met_releaseLockerAccess,0.031,false
transition__S05__a__S05__mediante_met_rejectSharingRequest,0.031,false
transition__S02__a__S04__mediante_met_releaseLockerAccess,0.015,false
transition__S05__a__S06__mediante_met_rejectSharingRequest,0.031,false
transition__S03__a__S01__mediante_met_requestLockerAccess,0.015,false
transition__S02__a__S05__mediante_met_releaseLockerAccess,0.046,false
transition__S03__a__S02__mediante_met_requestLockerAccess,0.031,false
transition__S02__a__S06__mediante_met_releaseLockerAccess,0.046,false
transition__S03__a__S03__mediante_met_requestLockerAccess,0.046,false
transition__S01__a__S01__mediante_met_revokeAccessFromThirdParty,0.031,false
transition__S01__a__S02__mediante_met_revokeAccessFromThirdParty,0.015,false
transition__S03__a__S04__mediante_met_requestLockerAccess,0.031,true
transition__S01__a__S03__mediante_met_revokeAccessFromThirdParty,0.031,false
transition__S03__a__S05__mediante_met_requestLockerAccess,0.046,false
transition__S01__a__S04__mediante_met_revokeAccessFromThirdParty,0.031,false
transition__S03__a__S06__mediante_met_requestLockerAccess,0.031,false
transition__S01__a__S05__mediante_met_revokeAccessFromThirdParty,0.015,false
transition__S04__a__S01__mediante_met_requestLockerAccess,0.031,false
transition__S01__a__S06__mediante_met_revokeAccessFromThirdParty,0.046,false
transition__S04__a__S02__mediante_met_requestLockerAccess,0.031,false
transition__S02__a__S01__mediante_met_revokeAccessFromThirdParty,0.046,false
transition__S04__a__S03__mediante_met_requestLockerAccess,0.046,false
transition__S02__a__S02__mediante_met_revokeAccessFromThirdParty,0.031,false
transition__S04__a__S04__mediante_met_requestLockerAccess,0.046,false
transition__S02__a__S03__mediante_met_revokeAccessFromThirdParty,0.046,false
transition__S02__a__S04__mediante_met_revokeAccessFromThirdParty,0.015,false
transition__S04__a__S05__mediante_met_requestLockerAccess,0.046,false
transition__S02__a__S05__mediante_met_revokeAccessFromThirdParty,0.015,false
transition__S04__a__S06__mediante_met_requestLockerAccess,0.031,false
transition__S02__a__S06__mediante_met_revokeAccessFromThirdParty,0.046,false
transition__S05__a__S01__mediante_met_requestLockerAccess,0.031,false
transition__S01__a__S01__mediante_met_terminate,0.031,false
transition__S05__a__S02__mediante_met_requestLockerAccess,0.031,false
transition__S01__a__S02__mediante_met_terminate,0.031,false
transition__S01__a__S03__mediante_met_terminate,0.015,false
transition__S05__a__S03__mediante_met_requestLockerAccess,0.046,false
transition__S01__a__S04__mediante_met_terminate,0.031,false
transition__S05__a__S04__mediante_met_requestLockerAccess,0.031,false
transition__S01__a__S05__mediante_met_terminate,0.031,false
transition__S05__a__S05__mediante_met_requestLockerAccess,0.031,false
transition__S01__a__S06__mediante_met_terminate,0.031,false
transition__S05__a__S06__mediante_met_requestLockerAccess,0.031,false
transition__S02__a__S01__mediante_met_terminate,0.031,false
transition__S03__a__S01__mediante_met_releaseLockerAccess,0.031,false
transition__S02__a__S02__mediante_met_terminate,0.031,false
transition__S03__a__S02__mediante_met_releaseLockerAccess,0.031,false
transition__S02__a__S03__mediante_met_terminate,0.031,false
transition__S03__a__S03__mediante_met_releaseLockerAccess,0.031,false
transition__S02__a__S04__mediante_met_terminate,0.031,false
transition__S03__a__S04__mediante_met_releaseLockerAccess,0.031,false
transition__S02__a__S05__mediante_met_terminate,0.031,false
transition__S03__a__S05__mediante_met_releaseLockerAccess,0.031,false
transition__S02__a__S06__mediante_met_terminate,0.031,false
transition__S03__a__S06__mediante_met_releaseLockerAccess,0.031,false
transition__S04__a__S01__mediante_met_releaseLockerAccess,0.015,false
transition__S04__a__S02__mediante_met_releaseLockerAccess,0.015,false
transition__S04__a__S03__mediante_met_releaseLockerAccess,0.015,false
transition__S04__a__S04__mediante_met_releaseLockerAccess,0.015,false
transition__S04__a__S05__mediante_met_releaseLockerAccess,0.031,false
transition__S04__a__S06__mediante_met_releaseLockerAccess,0.015,false
transition__S05__a__S01__mediante_met_releaseLockerAccess,0.015,false
transition__S05__a__S02__mediante_met_releaseLockerAccess,0.015,false
transition__S05__a__S03__mediante_met_releaseLockerAccess,0.031,true
transition__S05__a__S04__mediante_met_releaseLockerAccess,0.015,false
transition__S05__a__S05__mediante_met_releaseLockerAccess,0.015,false
transition__S05__a__S06__mediante_met_releaseLockerAccess,0.015,false
transition__S03__a__S01__mediante_met_revokeAccessFromThirdParty,0.031,false
transition__S03__a__S02__mediante_met_revokeAccessFromThirdParty,0.015,false
transition__S03__a__S03__mediante_met_revokeAccessFromThirdParty,0.015,false
transition__S03__a__S04__mediante_met_revokeAccessFromThirdParty,0.015,false
transition__S03__a__S05__mediante_met_revokeAccessFromThirdParty,0.015,false
transition__S03__a__S06__mediante_met_revokeAccessFromThirdParty,0.015,false
transition__S04__a__S01__mediante_met_revokeAccessFromThirdParty,0.031,false
transition__S04__a__S02__mediante_met_revokeAccessFromThirdParty,0.015,false
transition__S04__a__S03__mediante_met_revokeAccessFromThirdParty,0.015,false
transition__S04__a__S04__mediante_met_revokeAccessFromThirdParty,0.015,false
transition__S04__a__S05__mediante_met_revokeAccessFromThirdParty,0.015,false
transition__S04__a__S06__mediante_met_revokeAccessFromThirdParty,0.031,false
transition__S05__a__S01__mediante_met_revokeAccessFromThirdParty,0.031,false
transition__S05__a__S02__mediante_met_revokeAccessFromThirdParty,0.015,false
transition__S05__a__S03__mediante_met_revokeAccessFromThirdParty,0.015,true
transition__S05__a__S04__mediante_met_revokeAccessFromThirdParty,0.015,false
transition__S05__a__S05__mediante_met_revokeAccessFromThirdParty,0.031,false
transition__S05__a__S06__mediante_met_revokeAccessFromThirdParty,0.015,false
transition__S03__a__S01__mediante_met_terminate,0.015,false
transition__S03__a__S02__mediante_met_terminate,0.015,false
transition__S03__a__S03__mediante_met_terminate,0.015,false
transition__S03__a__S04__mediante_met_terminate,0.031,false
transition__S03__a__S05__mediante_met_terminate,0.015,false
transition__S03__a__S06__mediante_met_terminate,0.031,true
transition__S04__a__S01__mediante_met_terminate,0.015,false
transition__S04__a__S02__mediante_met_terminate,0.015,false
transition__S04__a__S03__mediante_met_terminate,0.015,false
transition__S04__a__S04__mediante_met_terminate,0.031,false
transition__S04__a__S05__mediante_met_terminate,0.015,false
transition__S04__a__S06__mediante_met_terminate,0.031,true
transition__S05__a__S01__mediante_met_terminate,0.015,false
transition__S05__a__S02__mediante_met_terminate,0.015,false
transition__S05__a__S03__mediante_met_terminate,0.015,false
transition__S05__a__S04__mediante_met_terminate,0.031,false
transition__S05__a__S05__mediante_met_terminate,0.015,false
transition__S05__a__S06__mediante_met_terminate,0.031,true

